as_of_year,agency_code,loan_type,property_type,loan_purpose,owner_occupancy,loan_amount_000s,preapproval,action_taken,action_taken_summary,msamd,state_code,county_code,census_tract_number,applicant_ethnicity,co_applicant_ethnicity,applicant_race_1,co_applicant_race_1,applicant_sex,co_applicant_sex,applicant_income_000s,purchaser_type,denial_reason_1,hoepa_status,lien_status,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units
7/9/05,7,1,1,1,1,304,3,4,,38060,4,13,8146,2,5,2,8,1,5,95,0,0,2,1,4679,31.74,66200,120.49,1034,1570
7/9/05,9,1,1,3,1,493,3,4,,14020,18,105,14.01,2,2,5,5,1,2,215,0,0,2,1,2246,3.07,61400,126.16,797,954
7/9/05,7,1,1,1,2,323,2,1,1,31084,6,37,4326.01,2,2,2,2,1,2,140,6,0,2,1,6652,95.1,64300,58.02,861,1798
7/9/05,3,1,1,1,2,139,3,1,1,29340,22,19,33,4,5,7,8,4,5,,0,0,2,1,5067,11.01,58500,110.88,1242,1969
7/9/05,1,1,1,1,2,90,3,2,0,42340,13,51,35.02,2,5,5,8,2,5,51,0,0,2,1,4156,60.95,64900,75.95,777,1522
7/9/05,9,2,1,1,1,313,3,6,1,40140,6,65,314.02,4,4,7,7,4,4,,2,0,2,4,7268,63.22,63200,98.25,1030,1316
7/9/05,9,1,1,1,1,192,3,6,1,33460,27,3,508.16,4,4,7,7,4,4,,3,0,2,4,4594,12.26,89800,117.43,1390,1459
7/9/05,3,1,1,1,1,127,3,1,1,11700,37,89,9310,2,5,5,8,2,5,38,3,0,2,1,6027,26.12,60400,78.12,1000,2195
7/9/05,9,2,1,1,1,121,2,1,1,30780,5,119,39,2,5,3,8,2,5,32,9,0,2,1,3793,39.15,62100,103.79,1274,1690
7/9/05,9,2,1,1,1,157,3,6,1,28660,48,27,213.03,2,2,5,5,1,2,69,0,0,2,4,6939,43.1,59200,132.82,1325,2092
7/9/05,9,1,1,3,1,131,3,1,1,19780,19,153,108.04,2,2,5,5,1,2,31,0,0,2,1,4558,16.83,82200,121.91,1365,1660
7/9/05,7,1,1,3,2,90,3,2,0,38940,12,85,13.02,2,5,5,8,1,5,162,0,0,2,1,4443,7.86,58000,128.47,1625,1835
7/9/05,9,1,1,1,1,231,3,1,1,33460,27,37,607.42,3,5,5,8,1,5,66,1,0,2,1,3547,14.15,89800,132.43,1271,1377
7/9/05,7,1,1,3,1,264,3,2,0,35614,36,119,137,1,1,5,5,1,2,310,0,0,2,1,5533,20.8,73700,200.92,1708,1889
7/9/05,9,1,1,3,1,89,3,2,0,35614,36,87,115.04,1,1,1,1,1,2,30,0,0,2,1,7152,85.75,73700,141.96,1594,1884
7/9/05,7,1,1,1,1,786,2,1,1,42034,6,41,1070,2,5,5,8,2,5,178,7,0,2,1,6385,17.76,131500,111.94,1992,2392
7/9/05,7,3,1,3,1,200,3,1,1,36740,12,97,432.04,2,2,5,5,1,2,79,2,0,2,1,16372,53.75,58400,107.42,3292,5286
7/9/05,9,1,1,1,1,340,3,1,1,,37,31,9708.03,2,2,5,5,1,2,307,0,0,2,1,1593,6.53,48700,150.87,556,893
7/9/05,7,3,2,1,1,50,3,3,0,13820,1,21,606,2,5,5,8,2,5,37,0,0,2,1,3357,17.31,61400,67.36,1050,1338
7/9/05,7,1,1,3,1,225,3,5,,38060,4,13,8168,1,5,5,8,1,5,51,0,0,2,1,3468,29.82,66200,144.06,914,1170
7/9/05,9,1,1,1,1,118,3,6,1,38300,42,129,8045.02,4,4,7,7,4,4,137,1,0,2,4,5351,5.33,72200,110.63,1744,2191
7/9/05,9,2,1,1,1,172,3,6,1,33460,27,53,214,4,4,7,7,4,4,,2,0,2,4,3210,23.83,89800,94.52,1015,1295
7/9/05,9,1,1,1,1,141,1,1,1,26620,1,89,114,2,5,5,8,2,5,,0,0,2,1,4241,4.67,78200,78.22,1271,1828
